!!			
!!  偵察戦力緊急展開！「光」作戦 (2017年 冬)			
!!			
じゅぴたー	ジュピター	固有一般	J型駆逐艦 8番艦
たしゅけんと	Ташкент	固有一般	Ташкент型嚮導駆逐艦
たしゅけんと	タシュケント	固有一般	Ташкент型嚮導駆逐艦
がんびあべい	Gambier Bay	固有一般	Casablanca型航空母艦 CVE-73
がんびあべい	ガンビアベイ	固有一般	Casablanca型航空母艦 CVE-73
えせっくす	Essex	固有一般	Essex型航空母艦 CV-9
えせっくす	エセックス	固有一般	Essex型航空母艦 CV-9
よーくたうん	Yorktown	固有一般	Essex型航空母艦 CV-10
よーくたうん	ヨークタウン	固有一般	Essex型航空母艦 CV-10
いんとれぴっど	Intrepid	固有一般	Essex型航空母艦 CV-11
いんとれぴっど	イントレピッド	固有一般	Essex型航空母艦 CV-11
ほーねっと	Hornet	固有一般	Essex型航空母艦 CV-12
ほーねっと	ホーネット	固有一般	Essex型航空母艦 CV-12
ふらんくりん	Franklin	固有一般	Essex型航空母艦 CV-13
ふらんくりん	フランクリン	固有一般	Essex型航空母艦 CV-13
たいこんでろが	Ticonderoga	固有一般	Essex型航空母艦 CV-14
たいこんでろが	タイコンデロガ	固有一般	Essex型航空母艦 CV-14
らんどるふ	Randolph	固有一般	Essex型航空母艦 CV-15
らんどるふ	ランドルフ	固有一般	Essex型航空母艦 CV-15
れきしんとん	Lexington	固有一般	Essex型航空母艦 CV-16
れきしんとん	レキシントン	固有一般	Essex型航空母艦 CV-16
ばんかーひる	Bunker Hill	固有一般	Essex型航空母艦 CV-17
ばんかーひる	バンカー・ヒル	固有一般	Essex型航空母艦 CV-17
わすぷ	Wasp	固有一般	Essex型航空母艦 CV-18
わすぷ	ワスプ	固有一般	Essex型航空母艦 CV-18
はんこっく	Hancock	固有一般	Essex型航空母艦 CV-19
はんこっく	ハンコック	固有一般	Essex型航空母艦 CV-19
べにんとん	Bennington	固有一般	Essex型航空母艦 CV-20
べにんとん	ベニントン	固有一般	Essex型航空母艦 CV-20
ぼくさー	Boxer	固有一般	Essex型航空母艦 CV-21
ぼくさー	ボクサー	固有一般	Essex型航空母艦 CV-21
ぼのむりしゃーる	Bon Homme Richard	固有一般	Essex型航空母艦 CV-31
ぼのむりしゃーる	ボノム・リシャール	固有一般	Essex型航空母艦 CV-31
れいて	Leyte	固有一般	Essex型航空母艦 CV-32
れいて	レイテ	固有一般	Essex型航空母艦 CV-32
きあさーじ	Kearsarge	固有一般	Essex型航空母艦 CV-33
きあさーじ	キアサージ	固有一般	Essex型航空母艦 CV-33
おりすかにー	Oriskany	固有一般	Essex型航空母艦 CV-34
おりすかにー	オリスカニー	固有一般	Essex型航空母艦 CV-34
れぷらいざる	Reprisal	固有一般	Essex型航空母艦 CV-35
れぷらいざる	レプライザル	固有一般	Essex型航空母艦 CV-35
あんてぃーたむ	Antietam	固有一般	Essex型航空母艦 CV-36
あんてぃーたむ	アンティータム	固有一般	Essex型航空母艦 CV-36
ぷりんすとん	Princeton	固有一般	Essex型航空母艦 CV-37
ぷりんすとん	プリンストン	固有一般	Essex型航空母艦 CV-37
しゃんぐりら	Shangri-la	固有一般	Essex型航空母艦 CV-38
しゃんぐりら	シャングリラ	固有一般	Essex型航空母艦 CV-38
れいくしゃんぷれいん	Lake Champlain	固有一般	Essex型航空母艦 CV-39
れいくしゃんぷれいん	レイク・シャンプレイン	固有一般	Essex型航空母艦 CV-39
たらわ	Tarawa	固有一般	Essex型航空母艦 CV-40
たらわ	タラワ	固有一般	Essex型航空母艦 CV-40
う゛ぁりーふぉーじ	Valley Forge	固有一般	Essex型航空母艦 CV-45
う゛ぁりーふぉーじ	ヴァリー・フォージ	固有一般	Essex型航空母艦 CV-45
いおーじま	Iwo Jima	固有一般	Essex型航空母艦 CV-46
